Timestamp,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Σε ποιες γλώσσες προγραμματισμού δουλεύεις  επαγγελματικά αυτή την περίοδο;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Ποιος είναι ο τρόπος εργασίας;,Έχεις άτομα υπό την επίβλεψη σου;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Φύλλο;,Ποιος είναι ο ετήσιος καθαρός μισθός σου;
7/15/2020 12:03:11,4-5,"DevOps, Backend, Frontend","C#, JavaScript",11-50,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,18200
7/15/2020 12:03:58,1-3,"Backend, Frontend","C#, JavaScript",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Δράμα,Καβάλα,Άντρας,13100
7/15/2020 12:05:43,1-3,Full Stack Web Developer,"C#, JavaScript, PHP",11-50,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,5460
7/15/2020 12:11:37,11+,Backend,"Java, C#",11-50,Και τα δύο,Ναι,Όχι,ΠΕΙΡΑΙΑΣ,ΠΕΙΡΑΙΑΣ,Άντρας,43500
7/15/2020 12:12:45,1-3,Frontend,JavaScript,11-50,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,16800
7/15/2020 12:15:15,4-5,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Ηράκλειο,Ηράκλειο,Άντρας,9600
7/15/2020 12:16:28,1-3,"DevOps, Backend, Frontend","C#, Visual Basic .NET, PHP",201-500,Και τα δύο,Ναι,Όχι,Θεσσαλονίκη,lisbon,Άντρας,10000
7/15/2020 12:16:33,1-3,Frontend,"Java, JavaScript",501+,Και τα δύο,Ναι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,13488
7/15/2020 12:21:06,1-3,"Backend, Frontend",C#,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10200
7/15/2020 12:28:46,1-3,"Backend, Mobile apps, Desktop apps","C, Python, JavaScript",201-500,Απομακρυσμένα,Όχι,Όχι,Ηράκλειο,Stuttgart,Άντρας,"15,360 για μερικη απασχοληση σαν εργαζομενος φοιτητης(2ο ετος)"
7/15/2020 12:28:51,6-10,"Backend, Frontend","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,15600
