TimeStamp,YearsExperience,DevelopmentType,ProgrammingLanguages,CompanySize,WorkLocation,SuperivisionRole,WorkOutsideMainJob,CityLive,CityWork,Sex,NetSalary
7/15/2020 12:03:11,4-5,"DevOps, Backend, Frontend","C#, JavaScript",11-50,Both,No,Yes,Athena,Athena,Man,18200
7/15/2020 12:03:58,1-3,"Backend, Frontend","C#, JavaScript",11-50,At the employer,No,No,Drama,Kavala,Man,13100
7/15/2020 12:05:43,1-3,Full Stack Web Developer,"C#, JavaScript, PHP",11-50,Both,No,No,Athena,Athena,Man,5460
7/15/2020 12:11:37,11+,Backend,"Java, C#",11-50,Both,Yes,No,PIRAEUS,PIRAEUS,Man,43500
7/15/2020 12:12:45,1-3,Frontend,JavaScript,11-50,Both,No,No,Athena,Athena,Man,16800
7/15/2020 12:15:15,4-5,Backend,"JavaScript, PHP",<10,At the employer,No,Yes,Heraklion,Heraklion,Man,9600
7/15/2020 12:16:28,1-3,"DevOps, Backend, Frontend","C#, Visual Basic .NET, PHP",201-500,Both,Yes,No,Thessaloniki,lisbon,Man,10000
7/15/2020 12:16:33,1-3,Frontend,"Java, JavaScript",501+,Both,Yes,No,Thessaloniki,Thessaloniki,Man,13488
7/15/2020 12:21:06,1-3,"Backend, Frontend",C#,<10,At the employer,No,Yes,Athena,Athena,Man,10200
7/15/2020 12:28:46,1-3,"Backend, Mobile apps, Desktop apps","C, Python, JavaScript",201-500,Remote,No,No,Heraklion,Stuttgart,Man,"15,360 for part-time work as a working student (2nd year)"
7/15/2020 12:28:51,6-10,"Backend, Frontend","JavaScript, PHP",<10,At the employer,No,No,Athena,Athena,Man,15600
7/15/2020 12:31:21,1-3,Mobile apps,Swift,51-100,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,15400
7/15/2020 12:32:10,1-3,Backend,C#,101-200,At the employer,No,Yes,Athena,Athena,Man,10000
7/15/2020 12:36:55,4-5,Mobile apps,Swift,101-200,Both,No,Yes,Athena,Athena,Man,25600
7/15/2020 12:39:45,6-10,AI / ML,"Java, Python, Visual Basic, R",101-200,At the employer,Yes,Yes,Athena,Athena,Man,3.6
7/15/2020 12:46:37,1-3,"Backend, Frontend","Java, JavaScript",201-500,At the employer,No,No,Athena,Athena,Man,11.27
7/15/2020 12:50:54,1-3,Mobile apps,"Java, Kotlin",<10,Remote,No,Yes,Rethimno,Aigio,Man,11200
7/15/2020 12:52:17,4-5,embedded/low-level/systems programming,"C, C++, Assembly",501+,Both,No,Yes,Thessaloniki,Dublin/California ,Man,~43.000
7/15/2020 12:54:01,4-5,Frontend,JavaScript,501+,Remote,No,Yes,Krakow,I do not have a specific city,Man,38000
7/15/2020 12:54:08,1-3,Mobile apps,"Java, Kotlin",11-50,At the employer,No,No,Limassol,,Man,33800
7/15/2020 12:57:03,1-3,Frontend,JavaScript,501+,Both,Yes,Yes,Athena,Athena,Man,20000
7/15/2020 12:57:16,1-3,Mobile apps,"Java, C++, Python, JavaScript",<10,Remote,No,Yes,London,London,Man,1E+99
7/15/2020 13:07:57,1-3,Backend,"C#, Python, JavaScript",51-100,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,700
7/15/2020 13:08:17,1-3,"Backend, Frontend","Python, JavaScript, Clojure",501+,Both,No,Yes,Athena,Berlin,Man,40K
7/15/2020 13:23:45,1-3,"Backend, Frontend","JavaScript, PHP",201-500,At the employer,No,No,Athena,Athena,Man,12600
7/15/2020 13:27:02,11+,"Backend, Frontend","JavaScript, PHP",<10,At the employer,No,No,Heraklion,Heraklion,Man,18000
7/15/2020 13:30:46,4-5,"Backend, Frontend","C, Python, JavaScript, Ruby",11-50,At the employer,Yes,No,Thessaloniki,Thessaloniki,Man,25000
7/15/2020 13:31:19,4-5,Backend,Ruby,51-100,At the employer,No,No,Amsterdam,Amsterdam,Man,42000
7/15/2020 13:32:13,4-5,Backend,Ruby,11-50,At the employer,No,No,Athena,Athena,Man,16000
7/15/2020 13:34:05,1-3,"Mobile apps, Desktop apps","Java, JavaScript",11-50,Remote,No,No,Chania,,Man,12000
7/15/2020 13:56:59,6-10,"DevOps, Backend, Frontend, Desktop apps",Java,11-50,At the employer,Yes,Yes,Athena,,Man,24000
7/15/2020 13:57:25,4-5,"Backend, Frontend",PHP,201-500,At the employer,No,Yes,Athena,Athena,Man,18500
7/15/2020 14:03:17,1-3,"Backend, Frontend, Desktop apps","C#, JavaScript, Visual Basic, Typescript",501+,At the employer,No,Yes,Athena,Athena,Man,15560
7/15/2020 14:12:40,1-3,Frontend,JavaScript,501+,Both,No,Yes,Thessaloniki,Thessaloniki,Man,20300
7/15/2020 14:12:47,6-10,Mobile apps,Swift,101-200,Both,Yes,Yes,Athena,Athena,Man,28000
7/15/2020 14:16:46,1-3,Mobile apps,"Java, Kotlin",<10,Both,No,Yes,Serres,Thessaloniki,Man,7200
7/15/2020 14:22:05,1-3,Backend,Python,11-50,Both,No,No,Thessaloniki,Thessaloniki,Man,15400
7/15/2020 14:23:51,4-5,DevOps,Python,201-500,At the employer,No,Yes,London,London,Man,63600
7/15/2020 14:35:17,6-10,"DevOps, Backend",Java,501+,Both,Yes,Yes,London,London,Man,4000
7/15/2020 14:40:04,4-5,Backend,"JavaScript, PHP, Go",501+,Both,No,Yes,Athena,Athena,Man,21000
7/15/2020 14:58:27,1-3,"DevOps, Backend, Frontend, AI / ML","Python, JavaScript, Typescript, Rust",101-200,Both,No,Yes,Thessaloniki,Thessaloniki,Man,6000
7/15/2020 15:06:05,1-3,"Backend, Frontend","Java, JavaScript",501+,Both,No,No,Athena,Athena,Man,13000
7/15/2020 15:07:44,1-3,Frontend,"Java, JavaScript",<10,At the employer,No,No,Kozani,,Man,10500
7/15/2020 15:16:36,I'm not working yet,Websites,Python,<10,Remote,Yes,Yes,Serres,Serres,Man,12
7/15/2020 15:38:48,6-10,Frontend,JavaScript,101-200,Both,Yes,No,Leeds,"Leeds, UK",Man,36263.59
7/15/2020 15:48:13,1-3,"Backend, Frontend",C++,501+,Both,No,Yes,Athena,Athena,Man,11620
7/15/2020 15:58:38,1-3,Backend,Java,11-50,Both,No,No,Amsterdam,Amsterdam,Man,38
